Date,BTC-USD,^GSPC,^IXIC
2023-07-16,30249.1328125,,
2023-07-17,30145.888671875,4522.7900390625,14244.9501953125
2023-07-18,29856.5625,4554.97998046875,14353.6396484375
2023-07-19,29913.923828125,4565.72021484375,14358.01953125
2023-07-20,29792.015625,4534.8701171875,14063.3095703125
2023-07-21,29908.744140625,4536.33984375,14032.8095703125
2023-07-22,29771.802734375,,
2023-07-23,30084.5390625,,
2023-07-24,29176.916015625,4554.64013671875,14058.8701171875
2023-07-25,29227.390625,4567.4599609375,14144.5595703125
2023-07-26,29354.97265625,4566.75,14127.2802734375
2023-07-27,29210.689453125,4537.41015625,14050.1103515625
2023-07-28,29319.24609375,4582.22998046875,14316.66015625
2023-07-29,29356.91796875,,
2023-07-30,29275.30859375,,
2023-07-31,29230.111328125,4588.9599609375,14346.01953125
2023-08-01,29675.732421875,4576.72998046875,14283.91015625
2023-08-02,29151.958984375,4513.39013671875,13973.4501953125
2023-08-03,29178.6796875,4501.89013671875,13959.7197265625
2023-08-04,29074.091796875,4478.02978515625,13909.240234375
2023-08-05,29042.126953125,,
2023-08-06,29041.85546875,,
2023-08-07,29180.578125,4518.43994140625,13994.400390625
2023-08-08,29765.4921875,4499.3798828125,13884.3203125
2023-08-09,29561.494140625,4467.7099609375,13722.01953125
2023-08-10,29429.591796875,4468.830078125,13737.990234375
2023-08-11,29397.71484375,4464.0498046875,13644.849609375
2023-08-12,29415.96484375,,
2023-08-13,29282.9140625,,
2023-08-14,29408.443359375,4489.72021484375,13788.330078125
2023-08-15,29170.34765625,4437.85986328125,13631.0498046875
2023-08-16,28701.779296875,4404.330078125,13474.6298828125
2023-08-17,26664.55078125,4370.35986328125,13316.9296875
2023-08-18,26049.556640625,4369.7099609375,13290.7802734375
2023-08-19,26096.205078125,,
2023-08-20,26189.583984375,,
2023-08-21,26124.140625,4399.77001953125,13497.58984375
2023-08-22,26031.65625,4387.5498046875,13505.8701171875
2023-08-23,26431.640625,4436.009765625,13721.0302734375
2023-08-24,26162.373046875,4376.31005859375,13463.9697265625
2023-08-25,26047.66796875,4405.7099609375,13590.650390625
2023-08-26,26008.462890625,,
2023-08-27,26089.693359375,,
2023-08-28,26106.150390625,4433.31005859375,13705.1298828125
2023-08-29,27727.392578125,4497.6298828125,13943.759765625
2023-08-30,27297.265625,4514.8701171875,14019.3095703125
2023-08-31,25931.47265625,4507.66015625,14034.9697265625
2023-09-01,25800.724609375,4515.77001953125,14031.8095703125
2023-09-02,25868.798828125,,
2023-09-03,25969.56640625,,
2023-09-04,25812.416015625,,
2023-09-05,25779.982421875,4496.830078125,14020.9501953125
2023-09-06,25753.236328125,4465.47998046875,13872.4697265625
2023-09-07,26240.1953125,4451.14013671875,13748.830078125
2023-09-08,25905.654296875,4457.490234375,13761.5302734375
2023-09-09,25895.677734375,,
2023-09-10,25832.2265625,,
2023-09-11,25162.654296875,4487.4599609375,13917.8896484375
2023-09-12,25833.34375,4461.89990234375,13773.6103515625
2023-09-13,26228.32421875,4467.43994140625,13813.58984375
2023-09-14,26539.673828125,4505.10009765625,13926.0498046875
2023-09-15,26608.693359375,4450.31982421875,13708.330078125
2023-09-16,26568.28125,,
2023-09-17,26534.1875,,
2023-09-18,26754.28125,4453.52978515625,13710.240234375
2023-09-19,27211.1171875,4443.9501953125,13678.1904296875
2023-09-20,27132.0078125,4402.2001953125,13469.1298828125
2023-09-21,26567.6328125,4330.0,13223.98046875
2023-09-22,26579.568359375,4320.06005859375,13211.8095703125
2023-09-23,26579.390625,,
2023-09-24,26256.826171875,,
2023-09-25,26298.48046875,4337.43994140625,13271.3203125
2023-09-26,26217.25,4273.52978515625,13063.6103515625
2023-09-27,26352.716796875,4274.509765625,13092.849609375
2023-09-28,27021.546875,4299.7001953125,13201.2802734375
2023-09-29,26911.720703125,4288.0498046875,13219.3203125
2023-09-30,26967.916015625,,
2023-10-01,27983.75,,
2023-10-02,27530.78515625,4288.39013671875,13307.76953125
2023-10-03,27429.978515625,4229.4501953125,13059.4697265625
2023-10-04,27799.39453125,4263.75,13236.009765625
2023-10-05,27415.912109375,4258.18994140625,13219.830078125
2023-10-06,27946.59765625,4308.5,13431.33984375
2023-10-07,27968.83984375,,
2023-10-08,27935.08984375,,
2023-10-09,27583.677734375,4335.66015625,13484.240234375
2023-10-10,27391.01953125,4358.240234375,13562.83984375
2023-10-11,26873.3203125,4376.9501953125,13659.6796875
2023-10-12,26756.798828125,4349.60986328125,13574.2197265625
2023-10-13,26862.375,4327.77978515625,13407.23046875
2023-10-14,26861.70703125,,
2023-10-15,27159.65234375,,
2023-10-16,28519.466796875,4373.6298828125,13567.98046875
2023-10-17,28415.748046875,4373.2001953125,13533.75
2023-10-18,28328.341796875,4314.60009765625,13314.2998046875
2023-10-19,28719.806640625,4278.0,13186.1796875
2023-10-20,29682.94921875,4224.16015625,12983.8095703125
2023-10-21,29918.412109375,,
2023-10-22,29993.896484375,,
2023-10-23,33086.234375,4217.0400390625,13018.330078125
2023-10-24,33901.52734375,4247.68017578125,13139.8701171875
2023-10-25,34502.8203125,4186.77001953125,12821.2197265625
2023-10-26,34156.6484375,4137.22998046875,12595.6103515625
2023-10-27,33909.80078125,4117.3701171875,12643.009765625
2023-10-28,34089.57421875,,
2023-10-29,34538.48046875,,
2023-10-30,34502.36328125,4166.81982421875,12789.48046875
2023-10-31,34667.78125,4193.7998046875,12851.240234375
2023-11-01,35437.25390625,4237.85986328125,13061.4697265625
2023-11-02,34938.2421875,4317.77978515625,13294.1904296875
2023-11-03,34732.32421875,4358.33984375,13478.2802734375
2023-11-04,35082.1953125,,
2023-11-05,35049.35546875,,
2023-11-06,35037.37109375,4365.97998046875,13518.7802734375
2023-11-07,35443.5625,4378.3798828125,13639.8603515625
2023-11-08,35655.27734375,4382.77978515625,13650.41015625
2023-11-09,36693.125,4347.35009765625,13521.4501953125
2023-11-10,37313.96875,4415.240234375,13798.1103515625
2023-11-11,37138.05078125,,
2023-11-12,37054.51953125,,
2023-11-13,36502.35546875,4411.5498046875,13767.740234375
2023-11-14,35537.640625,4495.7001953125,14094.3798828125
2023-11-15,37880.58203125,4502.8798828125,14103.83984375
2023-11-16,36154.76953125,4508.240234375,14113.669921875
2023-11-17,36596.68359375,4514.02001953125,14125.48046875
2023-11-18,36585.703125,,
2023-11-19,37386.546875,,
2023-11-20,37476.95703125,4547.3798828125,14284.5302734375
2023-11-21,35813.8125,4538.18994140625,14199.98046875
2023-11-22,37432.33984375,4556.6201171875,14265.8603515625
2023-11-23,37289.62109375,,
2023-11-24,37720.28125,4559.33984375,14250.849609375
2023-11-25,37796.79296875,,
2023-11-26,37479.12109375,,
2023-11-27,37254.16796875,4550.43017578125,14241.01953125
2023-11-28,37831.0859375,4554.89013671875,14281.759765625
2023-11-29,37858.4921875,4550.580078125,14258.490234375
2023-11-30,37712.74609375,4567.7998046875,14226.2197265625
2023-12-01,38688.75,4594.6298828125,14305.0302734375
2023-12-02,39476.33203125,,
2023-12-03,39978.390625,,
2023-12-04,41980.09765625,4569.77978515625,14185.490234375
2023-12-05,44080.6484375,4567.18017578125,14229.91015625
2023-12-06,43746.4453125,4549.33984375,14146.7099609375
